country,date,populationDiff
澎湖縣,2014.0,1698
澎湖縣,2015.0,799
澎湖縣,2016.0,630
澎湖縣,2017.0,978
澎湖縣,2018.0,613
澎湖縣,2019.0,459
基隆市,2008.0,-868
基隆市,2009.0,-797
基隆市,2010.0,-2612
基隆市,2011.0,-4369
基隆市,2012.0,-3430
基隆市,2013.0,-2265
基隆市,2014.0,-2075
基隆市,2015.0,-1243
基隆市,2016.0,-687
基隆市,2017.0,-130
基隆市,2018.0,-1131
基隆市,2019.0,-1047
新竹市,2008.0,5042
新竹市,2009.0,6332
新竹市,2010.0,4868
新竹市,2011.0,3933
新竹市,2012.0,5073
新竹市,2013.0,4373
新竹市,2014.0,3253
新竹市,2015.0,2745
新竹市,2016.0,2508
新竹市,2017.0,3850
新竹市,2018.0,4157
新竹市,2019.0,3380
臺中市,2008.0,8652
臺中市,2009.0,6917
臺中市,2010.0,63599
臺中市,2011.0,1277758
臺中市,2012.0,18688
臺中市,2013.0,19354
臺中市,2014.0,15495
臺中市,2015.0,23082
臺中市,2016.0,22744
臺中市,2017.0,21972
臺中市,2018.0,18051
臺中市,2019.0,13462
臺中市,2007.0,-1509774
臺中市,2008.0,8652
臺中市,2009.0,6917
臺中市,2010.0,63599
臺中市,2011.0,1277758
臺中市,2012.0,18688
臺中市,2013.0,19354
臺中市,2014.0,15495
臺中市,2015.0,23082
臺中市,2016.0,22744
臺中市,2017.0,21972
臺中市,2018.0,18051
臺中市,2019.0,13462
嘉義市,2008.0,1026
嘉義市,2009.0,259
嘉義市,2010.0,-926
嘉義市,2011.0,-1090
嘉義市,2012.0,-508
嘉義市,2013.0,-303
嘉義市,2014.0,-245
嘉義市,2015.0,-207
嘉義市,2016.0,-602
嘉義市,2017.0,-481
嘉義市,2018.0,-648
嘉義市,2019.0,-565
臺南市,2008.0,1628
臺南市,2009.0,1220
臺南市,2010.0,40870
臺南市,2011.0,896901
臺南市,2012.0,4228
臺南市,2013.0,3530
臺南市,2014.0,743
臺南市,2015.0,1822
臺南市,2016.0,350
臺南市,2017.0,839
臺南市,2018.0,-1533
臺南市,2019.0,-2049
臺南市,2007.0,-948549
臺南市,2008.0,1628
臺南市,2009.0,1220
臺南市,2010.0,40870
臺南市,2011.0,896901
臺南市,2012.0,4228
臺南市,2013.0,3530
臺南市,2014.0,743
臺南市,2015.0,1822
臺南市,2016.0,350
臺南市,2017.0,839
臺南市,2018.0,-1533
臺南市,2019.0,-2049
臺北市,2008.0,190
臺北市,2009.0,-12870
臺北市,2010.0,-6762
臺北市,2011.0,28252
臺北市,2012.0,26839
臺北市,2013.0,17913
臺北市,2014.0,13404
臺北市,2015.0,9733
臺北市,2016.0,-3298
臺北市,2017.0,-12220
臺北市,2018.0,-13483
臺北市,2019.0,-15314
高雄市,2008.0,2467
高雄市,2009.0,1468
高雄市,2010.0,61527
高雄市,2011.0,1326850
高雄市,2012.0,2782
高雄市,2013.0,3270
高雄市,2014.0,-1060
高雄市,2015.0,537
高雄市,2016.0,-280
高雄市,2017.0,-474
高雄市,2018.0,-3671
高雄市,2019.0,-859
高雄市,2007.0,-1392557
高雄市,2008.0,2467
高雄市,2009.0,1468
高雄市,2010.0,61527
高雄市,2011.0,1326850
高雄市,2012.0,2782
高雄市,2013.0,3270
高雄市,2014.0,-1060
高雄市,2015.0,537
高雄市,2016.0,-280
高雄市,2017.0,-474
高雄市,2018.0,-3671
高雄市,2019.0,-859
福建省,2008.0,3541
福建省,2009.0,6325
福建省,2010.0,6126
福建省,2011.0,4900
福建省,2012.0,8991
福建省,2013.0,9519
福建省,2014.0,7862
福建省,2015.0,6180
福建省,2016.0,3283
福建省,2017.0,2534
福建省,2018.0,2380
福建省,2019.0,1290
金門縣,2008.0,3505
金門縣,2009.0,6392
金門縣,2010.0,5984
金門縣,2011.0,4852
金門縣,2012.0,8437
金門縣,2013.0,8270
金門縣,2014.0,7283
金門縣,2015.0,6060
金門縣,2016.0,3251
金門縣,2017.0,2347
金門縣,2018.0,2111
金門縣,2019.0,1224
連江縣,2008.0,35
連江縣,2009.0,-66
連江縣,2010.0,141
連江縣,2011.0,48
連江縣,2012.0,555
連江縣,2013.0,1249
連江縣,2014.0,578
連江縣,2015.0,121
連江縣,2016.0,32
連江縣,2017.0,187
連江縣,2018.0,269
連江縣,2019.0,65
